City,State,Month,Weather Condition,Temperature (°C),Humidity (%),Rainfall Chances (%),Wind Speed (km/h),Fan Power Consumed (kWh),Light Power Consumed (kWh),Mixer Power Consumed (kWh),Washing Machine Power Consumed (kWh),Phone Charging Power Consumed (kWh),UPS Power Consumed (kWh),Grinder Power Consumed (kWh),AC Power Consumed (kWh),Heater Power Consumed (kWh),Fridge Power Consumed (kWh),TV Power Consumed (kWh),Total Power Consumed (kWh),Required Power Supply (kW),Current Power Supply (kW),Power Supply Status
Bangalore,Karnataka,January,Sunny,15.290210826774262,66.54788707151042,71.7192076124241,7.941387180232013,2.8866714085934286,1.800726911021786,1.2054582101022586,0.45203053090755996,0.9316919706640172,1.3526202069357223,0.4353864191779028,7.154724323649486,0.8219812803243248,0.6530492628205331,2.5574259891339612,20.251766513330985,0.8438236047221244,1.043001487796153,Overflow
Mysore,Karnataka,January,Sunny,32.04714808973645,68.04076900472415,4.828414279465387,21.345099091308168,2.583580947610775,2.064290247695001,1.183711963743392,2.8267880716087266,0.7546909532371058,1.2225027308206242,0.792026713923269,3.2722612511127815,0.7883609696209137,4.480269935668632,1.4551944096395497,21.42367819468077,0.8926532581116988,0.9364599533784579,Sufficient
Mangalore,Karnataka,January,Sunny,30.343414157231827,93.87508999818014,44.30438082852714,20.342969372928376,0.18410826395140079,9.034373002348376,1.657894742486522,2.1034399268710686,0.2242970146409924,0.35588954213796886,0.9931126886906606,0.04512246613539661,0.8295711447544574,2.1677862182909187,2.47660010850869,20.072195118816452,0.8363414632840188,1.184042543035806,Overflow
Hubli,Karnataka,January,Sunny,36.82864322629572,59.924131362018315,31.584487416865915,8.533994350129362,3.259898922646562,5.075505539738947,0.9018447237778506,2.7536262696258014,0.5814659697085895,0.7767207985226727,0.9938330924571668,5.09559275157023,0.14146293795009257,2.5292136618229315,2.241601079024802,24.350765746845646,1.014615239451902,1.3024032409819444,Overflow
Dharwad,Karnataka,January,Sunny,36.91336940676061,67.44377589333638,57.98998082786747,2.8145059188503363,3.8994987011530164,9.18409546853208,0.9227298132456359,0.7797090415015981,0.16838351721482303,0.33466719052484795,0.780911754948909,7.661298346057743,1.2002808609201787,3.1821926684874335,2.0593171617372135,30.173084524323478,1.257211855180145,1.0558266166906898,Insufficient
Belgaum,Karnataka,January,Cold,17.9709290701631,30.661157130341063,34.78382662334438,18.88285566504622,4.702809884194801,7.1357856181456105,0.3846042151099398,1.8089286405616591,0.8756013963567932,0.5136756666927553,0.259861899295326,6.852992927071048,4.452814758297022,3.982711663257703,2.0811347122007406,33.0509213811834,1.377121724215975,1.338848973291723,Insufficient
Tumkur,Karnataka,January,Cloudy,26.668055355548205,69.98691190644234,63.790724996720996,29.387610990100974,1.2392935563346386,8.688710028512858,1.493070265939985,1.6045552733191368,0.9738617557761111,1.2004541449160147,0.17631581823736187,4.477088566136117,0.20600612324734757,0.2632537517634387,1.8614392904040766,22.184048574587088,0.924335357274462,0.7735629329460024,Insufficient
Kolar,Karnataka,January,Sunny,35.9751416117781,83.97652188363492,22.72507668651865,6.746913713317424,0.3944851397675442,6.18862895823848,1.92380870943601,0.31628107780352044,0.552614361967064,0.9615487430359835,0.22931876223850134,7.657226913893856,3.6447820404966746,4.757295462779119,0.3369749893556866,26.96296515901244,1.1234568816255184,1.4478291324209707,Overflow
Chikmagalur,Karnataka,January,Cloudy,39.14688912511998,42.93204413641249,81.11267736203244,13.224918500711052,3.0955350049763,2.963107958102771,0.8430875338305395,0.10129596762577697,0.08769273253618792,0.5269404526685755,0.7143133360057579,6.1713863818947985,0.014608238386863981,3.722569514120475,1.2757088213601087,19.516245941508156,0.8131769142295066,1.1747275410943463,Overflow
Hassan,Karnataka,January,Sunny,32.98124273911907,38.77036514003079,31.205790278080016,26.722859585115856,3.5329083273713118,9.233746611812228,1.7767434222557472,2.410192807113706,0.43952558511306783,0.34193105550870584,0.7163899411857809,8.393294495832436,3.199416550028593,3.8516347499641945,2.5242077726341545,36.419991318819925,1.5174996382841635,0.7662947712360216,Insufficient
Udupi,Karnataka,January,Cold,18.753643495684745,68.72675580688218,93.7377439226569,25.056384773977893,2.4611230430702147,6.11992577616724,1.3269993545445513,0.7250155455902568,0.9801927900025486,0.14542407569172155,0.448478936871364,6.099035737626313,0.20920714034119658,1.8819392548172054,2.56467907381905,22.962020728541663,0.956750863689236,1.2022855068203817,Overflow
Kodagu,Karnataka,January,Cold,32.748365947592774,44.20413807829202,36.20033626906933,26.609612488326373,3.3106082566421726,0.9020578083138153,0.3084827017411429,1.828136118486316,0.38273466731748274,1.0827588977457363,0.3485098069886726,5.654351081512299,4.476639875779754,4.682879490722997,2.9070300922788896,25.88418879752928,1.07850786656372,1.3018282678884006,Overflow
Bagalkot,Karnataka,January,Sunny,20.275685958989598,55.343856593798435,12.105759046051235,13.413186852670622,3.326836540685325,9.357855118871417,1.9548503288162593,0.4782207281277202,0.18429414683601575,1.9071443089741635,0.4410399398923811,0.9268615822608828,3.4148405217747224,1.3542748095245716,2.0030304743227862,25.349248500086247,1.0562186875035937,1.3957096647434817,Overflow
Bijapur,Karnataka,January,Sunny,36.31668990410944,57.778867986981254,43.91225117968768,29.88527307206798,1.7189424496793597,9.785859182519975,0.8925231401957912,0.6240747215146956,0.9031443035681953,1.4946640241253466,0.6793674133347932,9.926175453334512,2.1697181032255934,3.3645284499702233,2.057731269282108,33.6167285107506,1.4006970212812748,1.1082515298336737,Insufficient
Chitradurga,Karnataka,January,Sunny,30.186932968027286,90.24462431327683,35.64726376497622,23.121682046300887,1.2440190808544715,4.416184315327978,1.3935561137092205,0.47803453802244034,0.650153083975976,0.37694969113980625,0.775757075904215,2.339182901658642,3.1276394907628724,3.3598540595684643,2.522688187422956,20.68401853834704,0.86183410576446,0.5018779527683971,Insufficient
Bidar,Karnataka,January,Sunny,39.01824140212989,72.03750614153067,81.68233447995878,1.6821494896596223,4.372637768990931,2.885704892495365,0.8281270202133031,0.89518851790692,0.3405154267825584,0.8838703053601504,0.3166577830698015,7.532646384469275,4.929320292922127,1.297234371599958,1.461734592053182,25.743637355863576,1.0726515564943158,1.2940416826213372,Overflow
Gadag,Karnataka,January,Sunny,17.295862867695103,61.276501389835545,12.428412089283935,10.95667724310928,3.835860076663187,4.1407878683791575,0.4507187870947049,1.942712061538265,0.4608397118641675,0.8290457761878292,0.6411365450980097,5.210069776196838,1.5711296726185182,3.7946269799721772,1.5375211753141593,24.414448430927013,1.017268684621959,1.0507935624844231,Sufficient
Haveri,Karnataka,January,Cold,16.96085714633728,60.31800428475211,79.64096879833782,5.3792513229927374,4.182515285422116,6.059990988425841,0.7374839746663027,0.8671665438528864,0.4551290980411483,1.051629570831191,0.24414787970253649,5.9435600376933095,2.191045291263393,1.2725796744852151,0.5070850995118135,23.51233344389575,0.9796805601623229,1.027826717475626,Sufficient
Koppal,Karnataka,January,Cloudy,16.48707291864988,31.468399547228298,52.84042871806457,25.352488690669233,0.6838153205579911,8.39682906716595,1.2264803246957388,0.8094149371944341,0.6871569406153697,0.4289961943194862,0.27086597552735336,4.437396106812274,0.620053640813153,0.8823987480850382,1.5615363772290802,20.00494363301587,0.833539318042328,0.8911848089356583,Sufficient
Raichur,Karnataka,January,Cold,19.45405532466006,67.12778175329012,52.462104812092804,24.86947077662001,0.3553752294261797,4.106248848361313,1.7878321972459983,2.170684979171276,0.9045319625296452,0.04402914480700404,0.8492084274018837,9.84042612198902,4.83471566135812,0.551272770823133,0.11205286815900262,25.556378211272573,1.0648490921363571,0.6624154155094077,Insufficient
Ramanagara,Karnataka,January,Cold,33.01445581442546,33.30344439557459,34.08143747563434,8.640528500182981,0.5036102255628244,3.971351441566917,0.4788375397190572,1.407084734345379,0.9824421182066145,0.10411299675466967,0.7727281330482613,5.21743731593956,4.908316033377489,0.24681947700703644,2.7553971914150543,21.348137206942862,0.8895057169559526,0.5170716214900587,Insufficient
Shivamogga,Karnataka,January,Cold,38.9074803395081,41.958065259712185,93.48556261058502,1.9087797634480441,2.1315858273033332,8.86699507038934,1.1999685551130912,2.0605922143464,0.8349348480432536,0.620056257965836,0.6967460304106963,4.1631285738921076,4.294811086978194,0.48396397940590474,2.818933172678955,28.17171561652711,1.173821484021963,1.183451232809144,Sufficient
Dakshina Kannada,Karnataka,January,Cloudy,37.672766983039594,60.177740396458645,2.3343155295221685,22.156310926629416,4.45791545327789,8.982962701733904,0.44745309049298365,0.6411371889749006,0.8879617810067956,1.713912056071563,0.355530167658761,0.09487486066565687,0.5099370512549151,0.48031007252379576,0.014273133297235896,18.5862675569584,0.7744278148732667,0.8730905886880623,Sufficient
